Movie Report
-------------
FrameFrame #    Frame Bytes    Total Bytes    Page
------------    -----------    -----------    ---------------
    1         75589          75589        Intro
    2             2          75591          2
    3             2          75593          3
    4             2          75595          4
    5             2          75597          5
    6             2          75599          6
    7             2          75601          7
    8             2          75603          8
    9             2          75605          9
   10             2          75607          10
   11             2          75609          11
   12             2          75611          12
   13             2          75613          13
   14             2          75615          14
   15             2          75617          15
   16             2          75619          16
   17             2          75621          17
   18             2          75623          18
   19             2          75625          19
   20             2          75627          20
   21             2          75629          21
   22             2          75631          22
   23             2          75633          23
   24             2          75635          24
   25             2          75637          25
   26             2          75639          26
   27             2          75641          27
   28             2          75643          28
   29             2          75645          29
   30             2          75647          30
   31             2          75649          31
   32             2          75651          32
   33             2          75653          33
   34             2          75655          34
   35             2          75657          35
   36             2          75659          36
   37             2          75661          37
   38             2          75663          38
   39             2          75665          39
   40             2          75667          40
   41             2          75669          41
   42             2          75671          42
   43             2          75673          43
   44             2          75675          44
   45             2          75677          45
   46             2          75679          46
   47             2          75681          47
   48            29          75710          48
   49             2          75712          49
   50             2          75714          50
   51             2          75716          51
   52             2          75718          52
   53             2          75720          53
   54             2          75722          54
   55             2          75724          55
   56             2          75726          56
   57             2          75728          57
   58             2          75730          58
   59             2          75732          59
   60             2          75734          60
   61             2          75736          61
   62             2          75738          62
   63             2          75740          63
   64             2          75742          64
   65             2          75744          65
   66             2          75746          66
   67             2          75748          67
   68             2          75750          68
   69             2          75752          69
   70             2          75754          70
   71             2          75756          71
   72             2          75758          72
   73             2          75760          73
   74             2          75762          74
   75             2          75764          75
   76             2          75766          76
   77             2          75768          77
   78             2          75770          78
   79             2          75772          79
   80             2          75774          80
   81             2          75776          81
   82             2          75778          82
   83             2          75780          83
   84             2          75782          84
   85             2          75784          85
   86             2          75786          86
   87             2          75788          87
   88             2          75790          88
   89             2          75792          89
   90             2          75794          90
   91             2          75796          91
   92             2          75798          92
   93             2          75800          93
   94             2          75802          94
   95             2          75804          95
   96             2          75806          96
   97             2          75808          97
   98             2          75810          98
   99             2          75812          99
  100             2          75814          100
  101             2          75816          101
  102             2          75818          102
  103             2          75820          103
  104             2          75822          104
  105             2          75824          105
  106             2          75826          106
  107             2          75828          107
  108             2          75830          108
  109             2          75832          109
  110             2          75834          110
  111             2          75836          111
  112             2          75838          112
  113             2          75840          113
  114             2          75842          114
  115             2          75844          115
  116             2          75846          116
  117             2          75848          117
  118             2          75850          118
  119             2          75852          119
  120             2          75854          120
  121             2          75856          121
  122             2          75858          122
  123             2          75860          123
  124             2          75862          124
  125             2          75864          125
  126             2          75866          126
  127             2          75868          127
  128             2          75870          128
  129             2          75872          129
  130             2          75874          130
  131             2          75876          131
  132             2          75878          132
  133             2          75880          133
  134             2          75882          134
  135             2          75884          135
  136             2          75886          136
  137             2          75888          137
  138             2          75890          138
  139             2          75892          139
  140             2          75894          140

Page                       Shape Bytes    Text Bytes
-----------------------    -----------    ----------
Intro                             0             0

Embedded Objects                114             0

Page                       Symbol Bytes    Text Bytes
-----------------------    ------------    ----------
A                                 0             0
Grafico CECI                      0             0
m                                 0            37
Symbol 12                         0            90

Bitmap                     Compressed    Compression
-----------------------    ----------  --------  -----------
LOGOCECI.gif                   39838      363216   Lossless
CECI.gif                       26979      283136   


Sound name                 Bytes        Format    
-----------------------    ---------    ----------
Arial                          20        
Times New Roman               552         Laert
BankGothic Md BT              509        .Cadgnor
